"id","parent_id","facility_level","facility_code","facility_name","type","create_by","create_time","update_by","update_time","remark","is_del","facility_type"
1676,1616,3,"3P1.1S1.UB","3P1.1S1.UB",3,admin,"2020-11-18 10:00:14",,,"2#原料磨主电机柜",0,0
1677,1616,3,"3P1.1S1.UD","3P1.1S1.UD",3,admin,"2020-11-18 10:00:14",,,"1#原料磨风机变频柜",0,0
1678,1616,3,"3P1.1S1.UE","3P1.1S1.UE",3,admin,"2020-11-18 10:00:15",,,"2#原料磨风机变频柜",0,0
1679,1616,3,"3P1.1S1.UG","3P1.1S1.UG",3,admin,"2020-11-18 10:00:15",,,原料处理电气室变压器柜,0,0
1680,1616,3,"3P1.1S1.UH","3P1.1S1.UH",3,admin,"2020-11-18 10:00:15",,,原料磨电气室变压器1柜,0,0
1681,1616,3,"3P1.1S1.UJ","3P1.1S1.UJ",3,admin,"2020-11-18 10:00:15",,,原料磨电气室变压器2柜,0,0
1682,1616,3,"3P1.1S1.UK","3P1.1S1.UK",3,admin,"2020-11-18 10:00:15",,,空压站电气室变压器柜,0,0
1683,1618,3,"4P1.1S1.UA","4P1.1S1.UA",3,admin,"2020-11-18 10:00:15",,,"1#高温风机变频柜柜",0,0
1684,1618,3,"4P1.1S1.UB","4P1.1S1.UB",3,admin,"2020-11-18 10:00:15",,,"2#高温风机变频柜柜",0,0
1685,1618,3,"4P1.1S1.UD","4P1.1S1.UD",3,admin,"2020-11-18 10:00:15",,,"1#窑尾废气排风机变频柜柜",0,0
1686,1618,3,"4P1.1S1.UE","4P1.1S1.UE",3,admin,"2020-11-18 10:00:15",,,"2#窑尾废气排风机变频柜",0,0
1687,1618,3,"4P1.1S1.UF","4P1.1S1.UF",3,admin,"2020-11-18 10:00:15",,,"1#窑主电机变频柜",0,0
1688,1618,3,"4P1.1S1.UG","4P1.1S1.UG",3,admin,"2020-11-18 10:00:15",,,"2#窑主电机变频柜",0,0
1689,1618,3,"4P1.1S1.UH","4P1.1S1.UH",3,admin,"2020-11-18 10:00:15",,,窑尾电气室变压器柜,0,0
1690,1618,3,"4P1.1S1.UI","4P1.1S1.UI",3,admin,"2020-11-18 10:00:16",,,接力风机变频柜,0,0
1691,1618,3,"4P1.1S1.UJ","4P1.1S1.UJ",3,admin,"2020-11-18 10:00:16",,,垃圾处理1#变压器柜,0,0
1692,1618,3,"4P1.1S1.UK","4P1.1S1.UK",3,admin,"2020-11-18 10:00:16",,,垃圾处理2#变压器柜,0,0
1693,1618,3,"4P1.1S1.UL","4P1.1S1.UL",3,admin,"2020-11-18 10:00:16",,,"1#入窑斗提1#主传柜",0,0
1694,1618,3,"4P1.1S1.UM","4P1.1S1.UM",3,admin,"2020-11-18 10:00:16",,,"1#入窑斗提2#主传柜",0,0
